,season,date,team_h,team_a,h_goals,a_goals,h_xg,a_xg
2968,2021,2022-04-10 15:30:00,Manchester City,Liverpool,2,2,1.34647,1.29983
2969,2021,2022-04-16 11:30:00,Tottenham,Brighton,0,1,0.58624,0.711155
2970,2021,2022-04-16 14:00:00,Watford,Brentford,1,2,1.50381,2.12457
2971,2021,2022-04-16 14:00:00,Southampton,Arsenal,1,0,1.04007,1.35002
2972,2021,2022-04-16 14:00:00,Manchester United,Norwich,3,2,1.66737,1.79754
2973,2021,2022-04-17 13:15:00,West Ham,Burnley,1,1,2.79175,1.88137
2974,2021,2022-04-17 13:15:00,Newcastle United,Leicester,2,1,2.54294,0.541084
2975,2021,2022-04-19 19:00:00,Liverpool,Manchester United,4,0,2.25967,0.110227
2976,2021,2022-04-20 18:45:00,Everton,Leicester,1,1,1.68819,0.786333
2977,2021,2022-04-20 18:45:00,Chelsea,Arsenal,2,4,0.593801,1.87331
2978,2021,2022-04-20 18:45:00,Newcastle United,Crystal Palace,1,0,0.767855,0.432788
2979,2021,2022-04-20 19:00:00,Manchester City,Brighton,3,0,1.52844,0.117354
2980,2021,2022-04-21 18:45:00,Burnley,Southampton,2,0,2.14743,1.31837
2981,2021,2022-04-23 11:30:00,Arsenal,Manchester United,3,1,2.54173,2.04244
2982,2021,2022-04-23 14:00:00,Norwich,Newcastle United,0,3,0.657661,1.87558
2983,2021,2022-04-23 14:00:00,Manchester City,Watford,5,1,3.68,0.42632
2984,2021,2022-04-23 14:00:00,Leicester,Aston Villa,0,0,0.235635,0.593202
2985,2021,2022-04-23 16:30:00,Brentford,Tottenham,0,0,1.3153,0.517755
2986,2021,2022-04-24 13:00:00,Chelsea,West Ham,1,0,2.34959,0.388975
2987,2021,2022-04-24 13:00:00,Burnley,Wolverhampton Wanderers,1,0,1.27298,0.592902
2988,2021,2022-04-24 13:00:00,Brighton,Southampton,2,2,1.87343,0.926764
2989,2021,2022-04-24 15:30:00,Liverpool,Everton,2,0,1.70397,0.424961
2990,2021,2022-04-25 19:00:00,Crystal Palace,Leeds,0,0,1.61656,0.374044
2991,2021,2022-04-28 18:45:00,Manchester United,Chelsea,1,1,0.618456,2.46868
2992,2021,2022-04-30 11:30:00,Newcastle United,Liverpool,0,1,0.115353,2.73435
2993,2021,2022-04-30 14:00:00,Wolverhampton Wanderers,Brighton,0,3,0.525912,2.90679
2994,2021,2022-04-30 14:00:00,Watford,Burnley,1,2,0.785742,1.37022
2995,2021,2022-04-30 14:00:00,Southampton,Crystal Palace,1,2,0.650256,0.756217
2996,2021,2022-04-30 14:00:00,Aston Villa,Norwich,2,0,2.31192,0.352212
2997,2021,2022-04-30 16:30:00,Leeds,Manchester City,0,4,1.03608,3.01431
2998,2021,2022-05-01 13:00:00,Tottenham,Leicester,3,1,1.65338,0.274133
2999,2021,2022-05-01 13:00:00,Everton,Chelsea,1,0,1.11712,1.21141
3000,2021,2022-05-01 15:30:00,West Ham,Arsenal,1,2,0.451976,0.964564
3001,2021,2022-05-02 19:00:00,Manchester United,Brentford,3,0,1.84111,0.681425
3002,2021,2022-05-07 14:00:00,Crystal Palace,Watford,1,0,2.49142,0.255373
3003,2021,2022-05-07 14:00:00,Chelsea,Wolverhampton Wanderers,2,2,1.82098,1.6842
3004,2021,2022-05-07 14:00:00,Burnley,Aston Villa,1,3,1.31028,1.81256
3005,2021,2022-05-07 14:00:00,Brentford,Southampton,3,0,3.68223,0.988574
3006,2021,2022-05-07 16:30:00,Brighton,Manchester United,4,0,2.82636,0.930715
3007,2021,2022-05-07 18:45:00,Liverpool,Tottenham,1,1,1.0481,0.982635
3008,2021,2022-05-08 13:00:00,Norwich,West Ham,0,4,0.77895,3.25894
3009,2021,2022-05-08 13:00:00,Leicester,Everton,1,2,1.47479,1.55635
3010,2021,2022-05-08 13:00:00,Arsenal,Leeds,2,1,2.7227,0.696785
3011,2021,2022-05-08 15:30:00,Manchester City,Newcastle United,5,0,4.05613,0.995099
3012,2021,2022-05-10 19:00:00,Aston Villa,Liverpool,1,2,1.44726,1.75417
3013,2021,2022-05-11 18:30:00,Leeds,Chelsea,0,3,0.499789,1.46853
3014,2021,2022-05-11 18:45:00,Leicester,Norwich,3,0,2.57058,1.21966
3015,2021,2022-05-11 18:45:00,Watford,Everton,0,0,0.232236,0.812193
3016,2021,2022-05-11 19:15:00,Wolverhampton Wanderers,Manchester City,1,5,0.411857,3.39304
3017,2021,2022-05-12 18:45:00,Tottenham,Arsenal,3,0,3.42522,0.387446
3018,2021,2022-05-15 11:00:00,Tottenham,Burnley,1,0,2.39449,0.629888
3019,2021,2022-05-15 13:00:00,Wolverhampton Wanderers,Norwich,1,1,0.999066,1.53212
3020,2021,2022-05-15 13:00:00,West Ham,Manchester City,2,2,1.0088,2.14723
3021,2021,2022-05-15 13:00:00,Watford,Leicester,1,5,2.58968,2.27297
3022,2021,2022-05-15 13:00:00,Leeds,Brighton,1,1,2.22282,2.25898
3023,2021,2022-05-15 13:00:00,Aston Villa,Crystal Palace,1,1,0.799443,1.39009
3024,2021,2022-05-15 15:30:00,Everton,Brentford,2,3,2.69589,1.81626
3025,2021,2022-05-16 19:00:00,Newcastle United,Arsenal,2,0,1.68299,0.492454
3026,2021,2022-05-17 18:45:00,Southampton,Liverpool,1,2,0.121506,1.19178
3027,2021,2022-05-19 18:45:00,Everton,Crystal Palace,3,2,0.813157,1.6023
3028,2021,2022-05-19 19:00:00,Aston Villa,Burnley,1,1,0.996403,1.63117
3029,2021,2022-05-19 19:00:00,Chelsea,Leicester,1,1,1.61996,0.0417972
3030,2021,2022-05-22 15:00:00,Arsenal,Everton,5,1,4.35597,1.08601
3031,2021,2022-05-22 15:00:00,Brentford,Leeds,1,2,0.844985,1.47786
3032,2021,2022-05-22 15:00:00,Brighton,West Ham,3,1,1.67774,0.268845
3033,2021,2022-05-22 15:00:00,Burnley,Newcastle United,1,2,1.49164,1.74291
3034,2021,2022-05-22 15:00:00,Chelsea,Watford,2,1,2.59231,0.575755
3035,2021,2022-05-22 15:00:00,Crystal Palace,Manchester United,1,0,0.354618,0.782005
3036,2021,2022-05-22 15:00:00,Leicester,Southampton,4,1,3.42058,1.05141
3037,2021,2022-05-22 15:00:00,Liverpool,Wolverhampton Wanderers,3,1,3.19385,1.11708
3038,2021,2022-05-22 15:00:00,Manchester City,Aston Villa,3,2,3.3209,0.247841
3039,2021,2022-05-22 15:00:00,Norwich,Tottenham,0,5,0.310789,3.815
