,season,date,team_h,team_a,h_goals,a_goals,h_xg,a_xg
2730,2021,2021-10-16 11:30:00,Watford,Liverpool,0,5,0.302302,3.65553
2731,2021,2021-10-16 14:00:00,Aston Villa,Wolverhampton Wanderers,2,3,1.21276,2.19633
2732,2021,2021-10-16 14:00:00,Leicester,Manchester United,4,2,2.96611,1.02494
2733,2021,2021-10-16 14:00:00,Manchester City,Burnley,2,0,2.15712,1.07719
2734,2021,2021-10-16 14:00:00,Norwich,Brighton,0,0,1.16088,1.17572
2735,2021,2021-10-16 14:00:00,Southampton,Leeds,1,0,1.83082,0.446173
2736,2021,2021-10-16 16:30:00,Brentford,Chelsea,0,1,1.62169,0.248256
2737,2021,2021-10-17 13:00:00,Everton,West Ham,0,1,0.854165,2.03034
2738,2021,2021-10-17 15:30:00,Newcastle United,Tottenham,2,3,0.645658,1.55008
2739,2021,2021-10-18 19:00:00,Arsenal,Crystal Palace,2,2,1.7436,0.492239
2740,2021,2021-10-22 19:00:00,Arsenal,Aston Villa,3,1,3.4984,1.41088
2741,2021,2021-10-23 11:30:00,Chelsea,Norwich,7,0,3.10509,0.267429
2742,2021,2021-10-23 14:00:00,Crystal Palace,Newcastle United,1,1,2.25588,0.721813
2743,2021,2021-10-23 14:00:00,Everton,Watford,2,5,1.84089,3.10344
2744,2021,2021-10-23 14:00:00,Leeds,Wolverhampton Wanderers,1,1,1.71313,0.858644
2745,2021,2021-10-23 14:00:00,Southampton,Burnley,2,2,1.42567,0.673195
2746,2021,2021-10-23 16:30:00,Brighton,Manchester City,1,4,1.1695,3.57376
2747,2021,2021-10-24 13:00:00,Brentford,Leicester,1,2,1.16789,1.00254
2748,2021,2021-10-24 13:00:00,West Ham,Tottenham,1,0,1.73468,0.672198
2749,2021,2021-10-24 15:30:00,Manchester United,Liverpool,0,5,1.35584,4.04765
2750,2021,2021-10-30 11:30:00,Leicester,Arsenal,0,2,1.98801,1.10288
2751,2021,2021-10-30 14:00:00,Burnley,Brentford,3,1,2.72901,0.834312
2752,2021,2021-10-30 14:00:00,Liverpool,Brighton,2,2,1.39778,1.51032
2753,2021,2021-10-30 14:00:00,Manchester City,Crystal Palace,0,2,0.65739,1.05029
2754,2021,2021-10-30 14:00:00,Newcastle United,Chelsea,0,3,0.157616,2.16608
2755,2021,2021-10-30 14:00:00,Watford,Southampton,0,1,0.852556,1.90757
2756,2021,2021-10-30 16:30:00,Tottenham,Manchester United,0,3,1.15787,1.38612
2757,2021,2021-10-31 14:00:00,Norwich,Leeds,1,2,0.661887,1.16855
2758,2021,2021-10-31 16:30:00,Aston Villa,West Ham,1,4,0.687551,2.66391
2759,2021,2021-11-01 20:00:00,Wolverhampton Wanderers,Everton,2,1,1.69344,1.69767
2760,2021,2021-11-05 20:00:00,Southampton,Aston Villa,1,0,0.89818,0.536077
2761,2021,2021-11-06 12:30:00,Manchester United,Manchester City,0,2,0.759561,2.04202
2762,2021,2021-11-06 15:00:00,Brentford,Norwich,1,2,2.79229,1.15797
2763,2021,2021-11-06 15:00:00,Chelsea,Burnley,1,1,3.00585,0.674072
2764,2021,2021-11-06 15:00:00,Crystal Palace,Wolverhampton Wanderers,2,0,2.65161,0.25416
2765,2021,2021-11-06 17:30:00,Brighton,Newcastle United,1,1,1.43123,0.227321
2766,2021,2021-11-07 14:00:00,Arsenal,Watford,1,0,1.49208,0.491659
2767,2021,2021-11-07 14:00:00,Everton,Tottenham,0,0,0.597906,0.801798
2768,2021,2021-11-07 14:00:00,Leeds,Leicester,1,1,1.96551,0.795292
2769,2021,2021-11-07 16:30:00,West Ham,Liverpool,3,2,1.25298,1.45641
2770,2021,2021-11-20 12:30:00,Leicester,Chelsea,0,3,0.499504,2.57178
2771,2021,2021-11-20 15:00:00,Aston Villa,Brighton,2,0,1.06946,0.582787
2772,2021,2021-11-20 15:00:00,Burnley,Crystal Palace,3,3,1.04224,1.74839
2773,2021,2021-11-20 15:00:00,Newcastle United,Brentford,3,3,2.18388,1.23275
2774,2021,2021-11-20 15:00:00,Norwich,Southampton,2,1,0.43778,1.13118
2775,2021,2021-11-20 15:00:00,Watford,Manchester United,4,1,2.73393,1.66794
