iter	Passed	Remaining
882	26569	9538
883	26596	9507
884	26632	9479
885	26663	9449
886	26692	9419
887	26722	9389
888	26752	9358
889	26783	9329
890	26808	9297
891	26834	9265
892	26860	9234
893	26885	9202
894	26920	9174
895	26948	9143
896	26975	9112
897	27003	9081
898	27031	9050
899	27057	9019
900	27087	8989
901	27122	8960
902	27163	8934
903	27197	8905
904	27230	8876
905	27264	8847
906	27302	8819
907	27341	8792
908	27379	8765
909	27416	8737
910	27460	8711
911	27498	8683
912	27539	8656
913	27583	8631
914	27623	8604
915	27660	8575
916	27699	8548
917	27733	8519
918	27780	8494
919	27827	8469
920	27866	8441
921	27903	8413
922	27937	8384
923	27971	8355
924	28020	8330
925	28056	8301
926	28091	8272
927	28129	8244
928	28169	8217
929	28204	8188
930	28240	8159
931	28277	8131
932	28314	8102
933	28355	8075
934	28391	8046
935	28424	8017
936	28474	7992
937	28510	7963
938	28541	7933
939	28575	7903
940	28603	7872
941	28642	7844
942	28676	7815
943	28709	7785
944	28741	7755
945	28776	7726
946	28810	7696
947	28843	7667
948	28879	7638
949	28915	7609
950	28954	7581
951	28997	7553
952	29035	7525
953	29071	7496
954	29095	7464
955	29119	7432
956	29143	7400
957	29171	7368
958	29196	7337
959	29220	7305
960	29243	7272
961	29272	7242
962	29299	7210
963	29322	7178
964	29356	7149
965	29397	7121
966	29429	7091
967	29460	7060
968	29498	7032
969	29538	7003
970	29568	6973
971	29605	6944
972	29640	6915
973	29673	6885
974	29717	6857
975	29742	6826
976	29767	6794
977	29786	6761
978	29811	6729
979	29836	6697
980	29858	6665
981	29880	6633
982	29907	6602
983	29933	6570
984	29963	6540
985	29987	6508
986	30018	6478
987	30045	6447
988	30072	6415
989	30098	6384
990	30122	6352
991	30151	6322
992	30177	6290
993	30203	6259
994	30227	6227
995	30250	6195
996	30273	6163
997	30298	6132
998	30324	6101
999	30349	6069
1000	30377	6039
1001	30406	6008
1002	30427	5976
1003	30449	5944
1004	30471	5912
1005	30491	5880
1006	30514	5848
1007	30541	5817
1008	30563	5785
1009	30588	5754
1010	30610	5722
1011	30629	5690
1012	30652	5658
1013	30673	5626
1014	30698	5595
1015	30724	5564
1016	30751	5533
1017	30775	5502
1018	30799	5470
1019	30824	5439
1020	30848	5408
1021	30873	5377
1022	30900	5346
1023	30923	5314
1024	30944	5283
1025	30968	5251
1026	30989	5220
1027	31014	5189
1028	31035	5157
1029	31061	5126
1030	31083	5095
1031	31106	5063
1032	31128	5032
1033	31150	5001
1034	31179	4970
1035	31201	4939
1036	31225	4908
1037	31250	4877
1038	31275	4846
1039	31297	4815
1040	31319	4783
1041	31341	4752
1042	31360	4720
1043	31381	4689
1044	31403	4657
1045	31423	4626
1046	31446	4595
1047	31465	4563
1048	31483	4532
1049	31501	4500
1050	31519	4468
1051	31538	4437
1052	31560	4405
1053	31575	4373
1054	31588	4341
1055	31604	4309
1056	31617	4277
1057	31631	4245
1058	31648	4213
1059	31664	4182
1060	31680	4150
1061	31694	4118
1062	31709	4086
1063	31722	4054
1064	31737	4023
1065	31750	3991
1066	31765	3959
1067	31781	3928
1068	31797	3896
1069	31811	3864
1070	31826	3833
1071	31838	3801
1072	31846	3769
1073	31858	3737
1074	31867	3705
1075	31877	3673
1076	31888	3641
1077	31898	3610
1078	31909	3578
1079	31920	3546
1080	31930	3514
1081	31939	3483
1082	31949	3451
1083	31958	3419
1084	31967	3388
1085	31976	3356
1086	31985	3325
1087	31994	3293
1088	32004	3262
1089	32013	3230
1090	32023	3199
1091	32033	3168
1092	32042	3136
1093	32052	3105
1094	32061	3074
1095	32071	3043
1096	32080	3012
1097	32091	2981
1098	32101	2950
1099	32109	2919
1100	32120	2888
1101	32129	2857
1102	32138	2826
1103	32147	2795
1104	32157	2764
1105	32166	2733
1106	32175	2703
1107	32185	2672
1108	32194	2641
1109	32202	2611
1110	32211	2580
1111	32220	2549
1112	32228	2519
1113	32237	2488
1114	32246	2458
1115	32255	2427
1116	32265	2397
1117	32274	2367
1118	32283	2336
1119	32292	2306
1120	32301	2276
1121	32310	2246
1122	32318	2215
1123	32327	2185
1124	32336	2155
1125	32346	2125
1126	32355	2095
1127	32364	2065
1128	32372	2035
1129	32381	2005
1130	32391	1976
1131	32399	1946
1132	32408	1916
1133	32417	1886
1134	32425	1856
1135	32434	1827
1136	32443	1797
1137	32452	1768
1138	32461	1738
1139	32471	1709
1140	32480	1679
1141	32488	1650
1142	32497	1620
1143	32507	1591
1144	32515	1561
1145	32525	1532
1146	32535	1503
1147	32545	1474
1148	32554	1444
1149	32563	1415
1150	32571	1386
1151	32581	1357
1152	32589	1328
1153	32598	1299
1154	32607	1270
1155	32617	1241
1156	32626	1212
1157	32636	1183
1158	32645	1154
1159	32654	1126
1160	32663	1097
1161	32672	1068
1162	32681	1039
1163	32690	1011
1164	32699	982
1165	32708	953
1166	32718	925
1167	32727	896
1168	32736	868
1169	32745	839
1170	32756	811
1171	32765	782
1172	32774	754
1173	32782	726
1174	32792	697
1175	32800	669
1176	32809	641
1177	32818	612
1178	32826	584
1179	32835	556
1180	32844	528
1181	32854	500
1182	32863	472
1183	32872	444
1184	32881	416
1185	32891	388
1186	32901	360
1187	32909	332
1188	32918	304
1189	32927	276
1190	32937	248
1191	32945	221
1192	32954	193
1193	32963	165
1194	32972	137
1195	32982	110
1196	32990	82
1197	33000	55
1198	33009	27
1199	33018	0
